ID,City,How would you describe your current situation?,Current school,Academic Year,On what device will you use DataCamp?,Are you currently receiving any other forms of financial assistance or scholarships?,"On a scale of 1-5, how much do you know about data science, analysis, engineering, AI, and/or machine learning?",How much time will you dedicate to use DataCamp regularly?,"After using DataCamp for 6-12 months, are you willing and able to fill out and submit this survey about your experience?"
1,Algiers,Student aged 16-26,ESI,1CP / L1,My own computer,No,1,3-5 hours/week,Yes
2,Chlef,Student aged 16-26,ESI,1CP / L1,My own computer,No,1,1-2 hours/week,Yes
3,Algiers,Unemployed,ESI,1CS / L3,My own computer,No,1,3-5 hours/week,Yes
4,Annaba,Student aged 16-26,ESI,1CS / L3,My own mobile device,No,2,3-5 hours/week,Yes
5,Algiers,Student aged 16-26,USTHB,1CS / L3,My own computer,No,2,3-5 hours/week,Yes
6,Chlef,Student aged 16-26,ESI,1CS / L3,My own computer,No,2,3-5 hours/week,Yes
7,Oum el bouagui,Student aged 16-26,ESI,1CS / L3,My own computer,No,1,>5 hours/week,Yes
8,Algiers,Student aged 16-26,USTHB,1CP / L1,My own mobile device,No,1,3-5 hours/week,Maybe
9,Blida,Student aged 16-26,ESI,1CS / L3,My own computer,No,2,>5 hours/week,Yes
10,Blida,Unemployed,ESI,2CP / L2,My own computer,No,1,3-5 hours/week,Yes
11,Algiers,Student aged 16-26,ESI,2CP / L2,My own mobile device,No,1,3-5 hours/week,Maybe
12,Algiers,Student aged 16-26,ESI,1CS / L3,My own computer,Yes,2,>5 hours/week,Yes
13,Algiers,Student aged 16-26,USTHB,2CP / L2,My own computer,No,1,3-5 hours/week,Yes
14,Oran,Unemployed,ENSIA,1CS / L3,My own computer,No,3,>5 hours/week,Yes
15,Chlef,Student aged 16-26,ESI,1CP / L1,My own mobile device,No,1,3-5 hours/week,Maybe
16,Algiers,Student aged 16-26,ESB,2CP / L2,My own mobile device,No,3,>5 hours/week,Yes
17,Constantine,Student aged 16-26,ESI,1CS / L3,My own computer,No,2,3-5 hours/week,Yes
18,Algiers,Unemployed,ESI,2CP / L2,My own computer,No,2,>5 hours/week,Yes
19,Algiers,Student aged 16-26,ESI,1CS / L3,My own computer,No,1,3-5 hours/week,Yes
20,Algiers,Student aged 16-26,USTHB,2CP / L2,My own computer,No,2,3-5 hours/week,Yes
21,Algiers,Student aged 16-26,USTHB,Graduate / Alumni,My own computer,No,4,>5 hours/week,Maybe
22,Algiers,Student aged 16-26,ESI,1CP / L1,My own mobile device,No,1,3-5 hours/week,Maybe
23,Algiers,Student aged 16-26,ESI,1CS / L3,My own mobile device,No,2,>5 hours/week,Yes
24,Algiers,Unemployed,ESI ,2CS / M1,My own computer,No,2,3-5 hours/week,Yes
25,Medea,Unemployed,ESI,1CP / L1,My own computer,No,1,3-5 hours/week,Yes
26,Boumerdes,Nonprofit research scientist,ESI,2CP / L2,My own computer,No,1,>5 hours/week,Yes
27,Tizi,Unemployed,ESI,1CS / L3,My own computer,No,1,3-5 hours/week,Yes
28,Algiers,Unemployed,ESI,1CS / L3,My own computer,No,1,3-5 hours/week,Yes
29,Tlemcen,Student aged 16-26,USTHB,1CP / L1,My own mobile device,No,1,1-2 hours/week,Yes
30,Algiers,Student aged 16-26,ESI ,1CS / L3,My own computer,No,1,3-5 hours/week,Yes
31,Algiers,Student aged 16-26,ESI,1CP / L1,My own computer,No,1,3-5 hours/week,Yes
32,Algiers,Student aged 16-26,USTHB,2CP / L2,My own computer,No,2,1-2 hours/week,Maybe
33,Algiers,Student aged 16-26,ESI,1CS / L3,My own computer,No,2,3-5 hours/week,Yes
34,Algiers,Student aged 16-26,ESI,2CS / M1,My own computer,No,2,3-5 hours/week,Yes
35,Algiers,Student aged 16-26,ESI,1CP / L1,My own computer,No,2,3-5 hours/week,Maybe
36,Algiers,Student aged 16-26,ESI,1CS / L3,My own computer,No,2,3-5 hours/week,Yes
37,Medea,Unemployed,ESI,1CP / L1,My own computer,No,1,>5 hours/week,Yes
38,Algiers,Student aged 16-26,ESI,1CS / L3,My own computer,No,2,>5 hours/week,Yes
39,Algiers,Unemployed,ESI,1CP / L1,My own computer,No,2,>5 hours/week,Yes
40,Algiers,Student aged 16-26,ESI,1CP / L1,My own computer,No,2,>5 hours/week,Yes
