ID,Wilaya,University,Level of your study,How did you hear of CSE Around Algeria?,Select the workshop you wish to attend,Rate your knowledge in the field of the workshop
1,Alger,ESI,1 cs / L3,Recommended by a friend or a colleague,"Intro to cloud",3
2,Alger,University of Algiers 1,2 cp / L2,Recommended by a friend or a colleague,"Intro to cloud",3
3,Alger,ESI,2 cp / L2,CSE's social media,"Intro to cloud",2
4,Alger,ESI,2 cs / Master 1,CSE's social media,"Intro to cloud",3
5,Alger,ESI,1 cp / L1,CSE's social media,"Intro to cloud",2
6,Alger,ESI,2 cp / L2,CSE's social media,"Intro to cloud",2
7,Alger,ESI,2 cp / L2,CSE's social media,"Intro to cloud",1
8,Alger,ESI,1 cp / L1,CSE's social media,"Intro to cloud",1
9,Alger,ESI,2 cs / Master 1,CSE's social media,"Intro to cloud",1
10,Alger,ESI,2 cs / Master 1,CSE's social media,"Intro to cloud",2
11,Alger,University of Algiers 1,1 cs / L3,Your local partner of CSE Around Algeria,"Intro to cloud",3
12,Alger,ESI,2 cs / Master 1,Your local partner of CSE Around Algeria,"Intro to cloud",2
13,Alger,ESI,2 cs / Master 1,CSE's social media,"Intro to cloud",1
14,Alger,ESI,2 cs / Master 1,Your local partner of CSE Around Algeria,"Intro to cloud",2
15,Alger,ESI,2 cp / L2,Your local partner of CSE Around Algeria,"Intro to cloud",2
16,Alger,ESI,1 cs / L3,CSE's social media,"Intro to cloud",1
17,Alger,ESI,1 cs / L3,CSE's social media,"Dev WEB : intro to HTML CSS",1
18,Alger,ESI,1 cp / L1,CSE's social media,"Dev WEB : intro to HTML CSS",2
19,Alger,ESI,2 cp / L2,CSE's social media,"Dev WEB : intro to HTML CSS",3
20,Alger,ESI,1 cp / L1,Recommended by a friend or a colleague,"Dev WEB : intro to HTML CSS",2
21,Alger,ESI,2 cs / Master 1,CSE's social media,"Dev WEB : intro to HTML CSS",2
22,Alger,ESI,2 cs / Master 1,CSE's social media,"Dev WEB : intro to HTML CSS",2
23,Alger,ESI,1 cp / L1,CSE's social media,"Dev WEB : intro to HTML CSS",1
24,Alger,ESI,1 cs / L3,CSE's social media,"Intro to cloud",2
25,Alger,ESI,1 cp / L1,CSE's social media,"Dev WEB : intro to HTML CSS",1
26,Alger,ESI,2 cp / L2,CSE's social media,"Dev WEB : intro to HTML CSS",3
27,Alger,ESI,2 cp / L2,Recommended by a friend or a colleague,"Dev WEB : intro to HTML CSS",3
28,Alger,USTHB,1 cp / L1,Recommended by a friend or a colleague,"Dev WEB : intro to HTML CSS",3
29,Alger,Faculty of medicine  Ziania,2 cp / L2,Recommended by a friend or a colleague,"Dev WEB : intro to HTML CSS",1
30,Alger,Faculty of medicine  Ziania,2 cp / L2,Your local partner of CSE Around Algeria,"Dev WEB : intro to HTML CSS",1
31,Alger,Faculty of medicine  Ziania,1 cp / L1,Your local partner of CSE Around Algeria,"Dev WEB : intro to HTML CSS",3
32,Alger,Faculty of medicine  Ziania,2 cp / L2,Your local partner of CSE Around Algeria,"Dev WEB : intro to HTML CSS",2
33,Alger,Faculty of medicine  Ziania,2 cp / L2,Your local partner of CSE Around Algeria,"Dev WEB : intro to HTML CSS",1
34,Alger,Faculty of medicine  Ziania,2 cp / L2,Recommended by a friend or a colleague,"Dev WEB : intro to HTML CSS",1
35,Alger,Faculty of medicine  Ziania,2 cp / L2,Recommended by a friend or a colleague,"Dev WEB : intro to HTML CSS",1
36,Alger,Faculty of medicine  Ziania,1 cp / L1,Your local partner of CSE Around Algeria,"Dev WEB : intro to HTML CSS",1
37,Alger,Faculty of medicine  Ziania,2 cp / L2,Your local partner of CSE Around Algeria,"Dev WEB : intro to HTML CSS",2
38,Alger,Faculty of medicine  Ziania,1 cp / L1,Your local partner of CSE Around Algeria,"Dev WEB : intro to HTML CSS",2
39,Alger,Faculty of medicine  Ziania,2 cp / L2,Your local partner of CSE Around Algeria,"Dev WEB : intro to HTML CSS",3
40,Alger,Faculty of medicine  Ziania,2 cp / L2,CSE's social media,"Intro to cloud",1
41,Alger,Faculty of medicine  Ziania,1 cs / L3,CSE's social media,"Intro to cloud",1
42,Alger,Faculty of medicine  Ziania,2 cp / L2,CSE's social media,"Intro to cloud",3
43,Alger,Faculty of medicine  Ziania,1 cp / L1,CSE's social media,"Intro to cloud",1
44,Alger,Faculty of medicine  Ziania,1 cp / L1,CSE's social media,"Intro to cloud",3
45,Alger,Faculty of medicine  Ziania,1 cp / L1,Recommended by a friend or a colleague,"Intro to cloud",1
46,Alger,Faculty of medicine  Ziania,2 cs / Master 1,CSE's social media,"Dev WEB : intro to HTML CSS",2
